relative_relief,spi,twi,flow_acc,aspect,slope,elevation,dist_river,drainage_density,landslide,source
35.84527588,-0.104233503,16.46533966,1.48370409,128.3695984,24.01149368,267.1641846,874.57,2.5017,0,primary
21.81,-1.6918458727569243,17.448354970367976,6.590904081962481,67.56866069119248,14.54,196.40038730378956,2467.9973562098057,1.454,0,kerala
45.62261963,2.299413919,1.814837456,3.485835314,292.6268921,30.93594933,223.1444702,2210.64,3.1,1,primary
34.73410034,4.870538712,0.885019183,3.450181484,162.5396729,26.25378227,148.6611176,2533.35,2.5909,0,primary
53.52990723,-8.288613319,18.41361999,12.36239433,192.1530151,37.19600677,1225.720947,504.23,3.4346,1,primary
24.045,3.960199409605261,12.356097376923161,1.2109413861329266,73.38298851603436,16.03,612.0654000684748,2136.3176635987747,1.6030000000000002,0,kerala
62.78720109902387,3.265506106274108,18.77103358215675,7.584808756858028,241.7949546661488,37.85590811991605,1083.6064901569075,200.2541840803304,3.590728276029626,1,global_catalog_synthetic
19.995,-3.988068701125652,7.966287375420212,2.8044345406251185,36.106716593725444,13.33,288.8223865525657,1513.027998993357,1.333,0,kerala
17.04,-0.6486207147787422,1.8717494447859138,8.546759591910327,273.07282831405786,11.36,263.6776397294211,2554.192251434104,1.136,0,kerala
69.74487305,0.457342267,2.632445812,2.484521389,27.20659256,38.9042244,1172.274902,2389.45,3.6398,0,primary
32.11407471,-665.5421753,19.13547134,27.62721634,189.4182739,21.87834549,999.7885132,439.19,2.5286,1,primary
63.405,-1.0637097096702819,10.472712179570086,5.5637624323203685,27.285786474504896,42.27,1096.0841379194294,927.6224862359793,4.227,1,kerala
31.27597046,-24.83294678,18.74688148,17.43775368,251.154129,21.52481079,439.6406555,332.68,2.3951,0,primary
34.82507324,0.900395155,3.414345264,4.937633514,140.8723755,21.68422127,977.829895,2000.97,2.0717,1,primary
69.04895763159026,-4.335957380633705,18.964147264806254,7.1472276143558116,213.41642606192806,34.22853127751631,971.8006743760538,360.4038693944959,3.2116251740282715,1,global_catalog_synthetic
14.865,2.156467240968701,14.816990528538549,8.011749082416621,111.32393367963705,9.91,572.5600612813838,2341.0381302046007,0.991,0,kerala
57.285,-2.3006798918344753,8.233520096466165,3.3967688647796037,108.20900463980337,38.19,1192.5477045703678,422.8982217788511,3.819,1,kerala
5.202177048,5.292962074,2.876755238,6.803514004,44.168293,3.128133535,32.13547897,2148.45,1.6078,0,primary
33.56530762,-1.458992124,1.884488344,1.697529674,171.8698883,12.39233017,896.6575928,2140.45,1.8497,0,primary
19.830000000000002,-0.46710635090963937,11.416605099637149,5.532038813886498,316.4924769361518,13.22,775.7217751124898,1974.2385685831105,1.322,0,kerala
10.605,4.291785307804595,9.283084522868153,1.16141967342676,81.74236434454023,7.07,744.1884514971395,1881.6261742455863,0.7070000000000001,0,kerala
27.285000000000004,0.4068914203087184,1.4169489043446213,1.3514031495237577,255.9966078578803,18.19,762.2044923936315,1586.8194528253823,1.8190000000000002,0,kerala
18.32319641,6.217265129,2.968174696,4.079688072,31.13773727,12.38037968,171.8423157,2005.92,1.4354,0,primary
15.075000000000001,2.90985959360372,17.897872652139977,7.608283499805253,263.27119232617275,10.05,607.4622324133921,1917.4247133462686,1.0050000000000001,0,kerala
